ID,Clasificación,Oración
10245,Simple,"Con un grabado de Lucrecia, diseño de Rafael, arrancó la relación entre ambos."
10246,Compleja,El puntaje acumulado es el resultante de la suma de lo obtenido por cada equipo en los torneos de Apertura y Clausura de 2006.
10247,Simple,"Durante su visita a Alemania en septiembre de 2011, el papa Benedicto XVI se reunión con Scheipers en Erfurt."
10248,Compleja,En épocas de grandes crecidas se puede pescar sábalo y dorado que vienen río arriba desde el Carcarañá.
10249,Compleja,La peor clínica a la que he llevado a mi mascota.
10250,Compuesta-Compleja,"Un hombre impulsivo, arrogante y líder que con su diligencia ha cimbrado Italia e Inglaterra y ahora pretende hacerlo en España, con su psicología de superioridad que agranda a sus equipos."
10251,Compleja,Posteriormente jugó en Groningen y Den Bosch hasta que aterrizó en Alicante (España).
10252,Simple,"Está situado en el alto Pirineo de Huesca, en la comarca del Sobrarbe."
10253,Compleja,"Le apuesto fuerte contra puyita, señor Presidente, que mi ley prevalecerá frente a la suya."
10254,Compleja,"Tras el discurso inaugural de la doctora Lucas se escuchó una disertación de la doctora Isabel Núñez, docente de la Fundación Libra de Buenos Aires, quien desarrolló el tema ""Acceso la Justicia."
10255,Compleja,"En el Club Hípico Argentino, se realizan a menudo conciertos y shows internacionales, utilizando su pista cubierta de gran tamaño."
10256,Compleja,"Se venden sobre todo en un puesto, llamado frietkot (neerlandés) y friterie (francés), que se encuentra a lo largo del camino o en una plaza."
10257,Compleja,"No voy a descubrir nada nuevo si digo que entrar en un juzgado es algo que hay que evitar, porque nunca se sabe como va a acabar, aunque tengas toda la razón del mundo."
10258,Simple,Inicialmente Jaén de Bracamoros perteneció a la Real Audiencia de Quito y el Virreinato de Nueva Granada bajo el mando del Gobernador Juan Miguel Melo.
10259,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Este monumento es la primera estatua ecuestre con el caballo erguido y sostenido sobre las patas traseras.
10260,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"El mal momento de retirada puede ocasionar semen en la vulva, el cual puede fácilmente migrar al tracto reproductivo femenino."
10261,Compuesta-Compleja,Su actitud es de primera categoría y para cualquier cosa que surge siempre encuentra una solución.
10262,Compleja,"Otro de los aspectos más relevantes de este verano es el auge de la venta de cruceros, producto que actualmente tiene una buena relación calidad - precio."
10263,Compuesta-Compleja,"Planckton se apodera y empieza a gobernar Fondo de Bikini, inaugurándola: Plancktopolis."
10264,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Hizo patente su preocupación por la eventual pérdida de las provincias de Texas, Nuevo México y las Californias, la cual sería irreparable."
10265,Simple,"El rey Carlos II de Nápoles y Sicilia había tomado por esposa a María de Hungría, Hija del rey Esteban V de Hungría."
10266,Simple,El descubrimiento de petróleo en Dhahran y los campos cercanos y la creciente importancia de toda la región afectada Dammam más que cualquier otra ciudad de Arabia Saudita.
10267,Simple,La prensa inglesa publica este miércoles el supuesto interés del Arsenal en el azulgrana Mascherano.
10268,Compleja,Las instalaciones de la piscina cubierta también abarcaban más de dos piso de altura.
10269,Compleja,Me apunto a eso de que la atención telefónica deja mucho que desear.
10270,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Es propietario de este videoclub ""24 horas"" lleva varios meses con el cajero inactivo y el videoclub cerrado ""por reformas""."
10271,Compleja,"Chasez ve a una chica quién lo engañó en televisión, en un show parecido a The Jerry Springer."
10272,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"No obstante, el gobernador de Río de janeiro, Sergio Cabral, responsabilizó al Inmet por no haber sido claro respecto de la intensidad de las lluvias."
10273,Simple,"Básicamente todas ellas consisten en cantos de himnos y coros, lecturas de salmos y capítulos de la Santa Biblia y razonamientos."
10274,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Según la saga de Njál, Gilli era jarl vikingo de las Hébridas, residía en las isla de Coll y pagaba tributo a su cuñado Sigurd Hlodvirsson (Sigurðr), jarl de las Orcadas (m. 1014)."
10275,Compleja,"Dos años más tarde fichó por Skoda, donde estuvo tres años, pero sin conseguir resultados notables."
10276,Compleja,"Tras quedar en 24 ª posición en 2004, el equipo BP Ford WRT, le fichó arriesgando, pero el rendimiento del finlandés fue mejor de lo que se esperaba quedando cuarto en el mundial con 58 puntos y 4 podios en la temporada."
10277,Compleja,"Leyes que no fueron aplicadas, ni si quiera de una manera meramente formal (para guardar las apariencias) a medios de comunicación como Basque Red Net, Ardi Beltza, Egin, Egin Irratia, Egunkaria, apurtu.org ya otros que durante los últimos 30 años han visto secuestradas en algún momento sus publicaciones."
10278,Compuesta-Compleja,Los atlantes son la civilización mejor preparada contra un titán puesto que pueden convertir rápidamente a las unidades en héroes y atacar masivamente.
10279,Unimembre,"1, un EP acústico en vivo a través de iTunes exclusivamente, el 20 de diciembre de 2005."
10280,Compleja,Paradójicamente esos cuatro personajes se ocupan de conseguir que la Justicia absuelva a aquellos delitos que el mismo Gobierno dice que está decidido a perseguir.
10281,Simple,Vive con su tía Gladys y su tío Max en un barrio de clase trabajadora en Newark.
10282,Compleja,Se prepara comida para llevar y para caterings vegetarianos o hindúes vegetarianos.
10283,Compleja,"Ubicada en la Región de Coquimbo, se encuentra al este de Los Vilos."
10284,Compleja,"De Curazao llegan a Trinidad, donde España tiempo después decide regresar a Venezuela para retomar la lucha."
10285,Unimembre,"En el suelo, restos de camarones u otros crustáceos."
10286,Compuesta-Compleja,Él la espía y termina enamorándose de ella.
10287,Compuesta-Compleja,Yo me case hace ocho años y lo celebre en la carpa del Pesca.
10288,Compleja,"No hay evidencia de una fractura ósea, pero si una clara señal de una infección, la cual puede ser observada cerca del punto medio del peroné derecho."
10289,Simple,"En consecuencia, Fantasía 2000 aplicado esta idea mediante la retención de la secuencia con Mickey Mouse como el aprendiz de brujo, sin duda el segmento más popular de la película original."
10290,Simple,Constituía la segunda mitad de la reserva de caballería realista.
10291,Compleja,"La nueva retórica en dos volúmenes (París: P.U.F., 1958), escrito en colaboración con Lucie Olbrechts - Tyteca ha sido vertido al español por Julia Sevilla Muñoz (Madrid: Gredos, 1994) en un solo volumen desde su quinta edición de 1989."
10292,Simple,"Modos de vida similares se pueden encontrar en la familia de avispas Trichogrammatidae, también en la superfamilia Chalcidoidea."
10293,Compleja,"Cox era de origen filipino, quién llegó al país a invertir"
10294,Compleja,"Por este motivo, es en la temporada alta de los espárragos cuando el emblemático Hotel madrileño quiere rendir tributo especial a este alimento tan real y exquisito."
10295,Compleja,La verdad es que esta gente sabe lo que hace.
10296,Compleja,Hay un subforo de mods descargables que se han adaptado para trabajar en el software que se encuentran en la página oficial.
10297,Compuesta-Compleja,Actualmente los camiones para acceder al Ferry en Calabria usan calles muy estrechas y esto provoca grandes atascos.
10298,Simple,Las flores masculinas tienen amentos de color amarillo.
10299,Compleja,"En realidad, Blanche es una mujer arruinada."
10300,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"En cuanto a la comida, pedimos las croquetas ""de l'abuela"" y estaban impresionantes, la ensalada de queso de cabra y miel muy buena también."
10301,Simple,Durante este tiempo pidió la baja del ejército.
10302,Compuesta-Compleja,"Si tienes suerte y tienen algún plato contundente (garbanzos, caparrones, pochas...), aprovecha la ocasión."
10303,Compuesta-Compleja,"Esto se debe principalmente a dos causas: el desinterés hacia este conflicto mostrado por los fundadores de la historiografía uruguaya (Juan Zorrilla de San Martín, Francisco Bauzá, etc.) debido a que pretendían crear una apoteosis de la figura de Artigas y el desinterés de los historiadores actuales, que prefieren abordar otros temas que les parecen más relevantes de la época, como los cambios sociales, políticos y culturales, producidos y fomentados por Artigas."
10304,Compleja,"County Donegal Railways fue una empresa ferroviaria que operaba la mayor red de vía estrecha (914 mm, 3 pies) de las islas Británicas."
10305,Compleja,"El alcalde, que ha decretado tres días de luto como muestra de respeto, aprecio y reconocimiento, no supo precisar dónde será enterrado Saramago, si en Lanzarote o en Portugal, una cuestino que decidirán allegados, indicó."
10306,Simple,Psychomantis borneensis es una especie de mantis de la familia Hymenopodidae.
10307,Simple,Hay muy pocos documentos históricos acerca de la fundación de este pueblo.
10308,Compuesta,"De ese modo, el nuevo capitalismo erige la competitividad en principal fuerza motriz, y establece, de hecho, la mercantilización del trabajo y de los trabajadores."
10309,Compuesta-Compleja,"Detrás del palatino y de la fenestra palatal, había grandes huesos pterigoides y ectopterigoide que se proyectaban posteriormente y se extendían debajo del cráneo."
10310,Compleja,"En la práctica, algunos presidentes socialistas lo vienen ya haciendo con empresarios y sindicatos, como ocurre en Extremadura y en Castilla - La Mancha."
10311,Simple,"Sin embargo, a pesar de su planitud es muy suave en comparación con otros Vocaloids anteriores."
10312,Simple,"Por otra parte, los archivos del parlamento, de los ministerios (excepto el de Cultura), los judiciales i los militares quedan fuera de su control."
10313,Simple,En 2006 la cantidad del Cnuas se cifraba en 12.180 €.
10314,Compleja,Esto es lo que normalmente se llama SPAM.
10315,Compleja,"En el informe elaborado por el Observatorio de los Periodistas de la Agencia Cerigua del 2008 sobre La Libertad de Expresión en Guatemala, se dijo que ""En países en guerra y aún en algunos donde no la hay como en México, la muerte de periodistas y las agresiones hacia los mismos hacen riesgosa la labor informativa."
10316,Simple,"Esa noche, Faith va al Bronze."
10317,Compleja,"Así, visitan a Gaetana para decirle que piensan llevarlo al pueblo."
10318,Compleja,"Los primeros suspendiendo toda su programación de entretenimiento y sus anuncios comerciales para dar paso a programación política e informativa durante 18 ó 20 horas al día, reconociendo su sesgo en contra del gobierno varias veces."
10319,Compleja,"Los impuestos eran altos, los salarios muy reducidos y la administración británica incentivó la inmigración de millares de chinos a la región para silenciar las protestas de los trabajadores."
10320,Simple,"La densidad de población era de 1.281,79 hab. / km²."
10321,Simple,También se consideró al actor Chad Michael Murray.
10322,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"El Foro de Arcadio (en latín: Forum Arcadii, griego: Φόρος τοῦ Ἀρκαδίου) fue construido por el emperador Arcadio en 403, en la ciudad de Constantinopla, hoy Estambul."
10323,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Éstas fueron establecidas poco tiempo antes de la aparición del cristianismo (periodo que los cristianos llaman intertestamentario).
10324,Compleja,"El consejero de Presidencia y Administraciones Públicas de la Junta de Comunidades de Castilla - La Mancha, Jesús Labrador, ha abogado hoy porque las administraciones públicas sean el motor que facilite la creación de empleo."
10325,Compleja,Los precios no suelen corresponderse en caja con lo que hay en estantería.
10326,Compuesta-Compleja,Ryurato decidide dimitir y no volver a presentarse en su distrito electoral.
10327,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Jamás he sido guionista, ni escritor fantasma, en ese sentido la película presenta un escenario muy particular."
10328,Compleja,"Preside esta procesión una imagen de San Bartolomé, escoltado por la gente que porta un estandarte y dos pendones."
10329,Compleja,"El comandante Espinar, aceptó lo que consideraba ""un humillante puesto para un militar"" con tal de estar junto con el ejército cerca de la posibilidad de combatir en la región de Tarapacá."
10330,Indeterminada (múltiples verbos sin subordinación/coordinación clara),La meseta es un macizo gigante y su punto más alto alcanza una altura de unos 1.716 metros (5.630 pies) sobre el nivel del mar.
10331,Indeterminada (múltiples verbos sin subordinación/coordinación clara),El valle fue restaurado a su antiguo esplendor por los Enanos luego de la muerte del Dragón.
10332,Compleja,La empresa familta Senar SL que en 1987 contaba con 670 trabajadores.
10333,Unimembre,Historia de la Música y Estética con Juan Bautista Plaza;
10334,Compuesta-Compleja,"Hace unas semanas, se extendió a los vuelos operados por Finnair a Delhi y ahora se ha ampliado al añadir la ruta de Finnair a Singapur, cuyas ventas comenzarán en los próximos días y que se inaugurará el próximo 30 de mayo."
10335,Simple,"La industria comprende varias fábricas: PO Apogéi (ПО ""Апогей"") fabrica equipamientos de radio;"
10336,Compuesta-Compleja,"Muy poca comida, buena pero muy poca, al final acabas pidiendo pan y mojando, porque tienes hambre y no sabes que despues te va costar 3 € cada bandejita de pan."
10337,Compuesta-Compleja,"""Mediante este taller, Beachcomber quiere compartir con vosotros (agentes de viajes) la experiencia plena de los sentidos, tan bien representados en Isla Mauricio en su entorno, su luz, sus colores y sabores, pero, sobre todo, queremos haceros llegar la filosofía de cuidado, de mimo y de atención con el cliente de la cadena"", argumentó Irene Blanco, impulsora de la idea."
10338,Compleja,"El Parque Arqueológico - Natural de la Campa Torres fue inaugurado en 1995 en el marco de la exposición Astures, pueblos y culturas en la frontera del Imperio romano junto con el yacimiento - museo de las Termas Romanas de Campo Valdés y Centro de Interpretación de la Torre del Reloj, pasando a formar parte de los Museos Arqueológicos de Gijón."
10339,Simple,Lansing se encuentra ubicada en las coordenadas.
10340,Compleja,Aunque ya había superado los sesenta años le resultaba muy agradable verse adorada de tal forma por un muchacho de veinte.
10341,Simple,El principal cultivo de los pequeños agricultores de los países en vías de desarrollo es el algodón.
10342,Simple,"En el Censo de 2010 tenía una población de 4.697 habitantes y una densidad poblacional de 34,8 personas por km²."
10343,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"No esperes privacidad, no es un hotel, es para un perfil de gente viajera."
10344,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"A pesar de todo esto, las primeras películas realmente importantes se produjeron a partir de los años 30, con la aparición de las ideas comunistas, con obras como Los gusanos de seda de primavera, de Cheng Bugao (Chūncán, 1933), La calle mayor (Dàlù, Sun Yu, 1935), o La diosa (Shénnǚ, Wu Yonggang, 1934)."
10345,Simple,Unos son hijos de la villa;
10346,Simple,"En las fases avanzadas de los disturbios de la revolución, el maoísta Wang Hongwen dirigió las acciones de los Guardas, con coordinación con el señor cacique de Shanghái Zhang Chunqiao y propagandista Yao Wenyuan."
10347,Compleja,No es hasta finales de 1419 que Estocolmo se proclama capital de Suecia.
10348,Compuesta-Compleja,"Quien no disponga de coche o de carné de conducir, como es el caso del popular Agustín Baamonde, podrá utilizar el transporte público con la correspondiente tarjeta que expide el Parlamento, o bien reclamar los servicios de un taxi, aunque la compensación que recibirá de la Cámara no deberá exceder «en ningún caso» del gasto que le correspondería por usar vehículo propio."
10349,Compleja,Los principales dirigentes de la entidad hicieron público el pedido de las bases para iniciar una segunda etapa de la protesta triguera en caso de no haber soluciones concretas hasta quince días después de la finalización de la presente medida de fuerza.
10350,Simple,"Angie Dickinson (Kulm, Dakota del Norte, Estados Unidos, 30 de septiembre de 1931) es una actriz de cine y televisión norteamericana ganadora de un Globo de Oro."
10351,Compleja,"El contexto histórico en el que se realiza el hallazgo de la Venus de Milo, Francia se encontraba gobernada por Luis XVIII."
10352,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"En bobinas acopladas, existen dos tipos de inductancia: la debida al flujo de una bobina sobre otra, denominada inductancia mutua, y la debida al propio flujo, denominada autoinductancia."
10353,Compleja,"Honduras, espera que sea aprobada una nueva ley de minería, en la cual puedan salir beneficiados, tanto el estado, las empresas y los trabajadores."
10354,Compleja,"Son ovíparos y el apareamiento suele ir acompañado de una danza ""nupcial"" relativamente compleja."
10355,Compleja,"Está escrito en romance octosilábico, con el propósito confeso de hacerlos más agradables al gusto popular y más fáciles de ser recordados, en sus propias palabras ""cantables para los labradores, para los artesanos, para las mujeres, en los campos, en los talleres y hasta en las plazas públicas""."
10356,Simple,"La Tortuga es, frecuentemente, un símbolo de longevidad y resistencia."
10357,Compleja,"Insight era una antología, y utilizaba un conjunto ecléctico de técnicas para contar las historias."
10358,Simple,"Los US $ 6500 millones del Fondo del Bicentenario, motivo del entuerto, también quedaron a merced de enredos procesales."
10359,Compleja,"Por otro lado su padre empieza a sufrir perdidas económicas en su negocio de cáñamo (anteriormente, Brian declaró que el motivo por le que se prohibió el consumo de marihuana por la misma razón en los años 30 por William Randolph Hearst), para poder remediar sus perdidas decide pedir ayuda a su yerno para llevar a cabo una campaña para la ilegalización de la marihuana, esa ayuda incluye la producción de un vídeo donde se compara a los fumadores de cannabis con los simpatizantes del partido nazi."
10360,Simple,El Valencia cayó en la trampa durante la primera mitad.
10361,Simple,"Por esta razón, el monasterio recibió tierras, donaciones, herencias y favores de la familia real."
10362,Unimembre,"Calma aparente en la plaza Perla de Manama, la capital de Baréin."
10363,Compleja,"En cuanto al territorio navarro era similar a los anteriores, sólo que el territorio que se quedaría Castilla sería mayor que antes."
10364,Compleja,Este es el motivo por el cual en Estados Unidos aún se enseñan normas de la época colonial inglesa.
10365,Compleja,"Las quejas de Mourinho al cuarto árbitro y los posteriores aplausos al árbitro, provocaron que también fuese expulsado."
10366,Compuesta,También compuso y grabó el tema «Here Today» como tributo a Lennon tras su muerte.
10367,Indeterminada (múltiples verbos sin subordinación/coordinación clara),- «La superficie total de glaciares se reducirá de los actuales 500.000 kilómetros cuadrados a sólo 100.000 en el año 2035»: En la actualidad sólo hay 33.000 kilómetros cuadrados.
10368,Compleja,"Hijo único de padres con una intensa vida social, pasó muchas horas de su infancia en la cocina sentado en un banco mirando todo lo que hacía Pilar, la cocinera de la familia."
10369,Simple,"La isla Njao se encuentra en la costa noroeste de la isla de Pemba, una de las dos islas principales del archipiélago de Zanzíbar, Tanzania."
10370,Simple,Mucho público presenció su salida para La Guaira y otros puertos.
10371,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Eso si, son muy amables y el sitio es muy agradable."
10372,Compleja,"El diseño educativo, el diseño sistemático de materiales, las actividades y los ambientes interactivos para aprender, son ampliamente conformados por la teoría e investigación de la psicología educativa."
10373,Simple,"En retórica, una idolopeya, dentro de las figuras literarias, es una de las figuras de ficción;"
10374,Compuesta,"Las primeras hacen referencia a sonidos sin significación, y las segundas anticipan los repertorios de sonidos correspondientes a la lengua materna."
10375,Simple,Palazuelo fue una de las figuras clave del arte español de la segunda mitad del siglo XX.
10376,Compuesta,"En Alemania, los líderes de las facciónes se sientan en la primera fila, pero no hay un lugares designados para los demás miembros de la facción."
10377,Compleja,Solo querría comentar mi mala experiencia en este restaurante con los cupones.
10378,Compleja,"En cuadros como La costurera, la zona abocetada con amplias pinceladas ocupa gran parte del cuadro."
10379,Compleja,"Los oficios que se han identificado entre otros, panaderos, cocineros, albañiles, profesores."
10380,Compuesta-Compleja,La despedida del Bosque Dorado entristeció a todos y a pesar de los consejos de Celeborn y los regalos de la Dama: a Legolas le regaló un arco más largo que el que acostumbraban a usar los Elfos Silvanos.
10381,Compuesta-Compleja,También es descrito gobernando más de treinta legiones y teniendo la habilidad de transforman a cualquier hombre en un pájaro.
10382,Simple,¿Acaso la Juez Afiuni no es una de sus víctimas?
10383,Compleja,"Pucará, uno de los doce distritos incluidos en la provincia de Jaén en el departamento de Cajamarca, es una ciudad agradable y pacífica, con un clima caliente, subtropical."
10384,Compleja,Estas instituciones han comprendido que este festival es el único espacio para un tipo de cine que tradicionalmente ha sido olvidado.
10385,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Sin embargo, el gran complejo de almacenes en régimen de servidumbre al Este d ela ciudad y el embotellado del complejo Noroeste fueron detenidos."
10386,Simple,"Nació en Santiago, en el año 1849."
10387,Indeterminada (múltiples verbos sin subordinación/coordinación clara),El aparato volcó quedando panza arriba.
10388,Compleja,"En 1995 existían en el municipio 1,384 viviendas particulares, en las que habitan en promedio 5.2 personas por vivienda."
10389,Simple,"Sin embargo, en las columnas y zapatas del otro extremo de la estructura encontramos la influencia del arquitecto francés Eugène Viollet - le - Duc."
10390,Compleja,¿Como es posible que la gente no ate cabos?
10391,Compuesta-Compleja,Llevo en casa dos dias seguidos esperando el paquete y no hay señales ni puedo contactar con ellos.
10392,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"El montonero Carlos Kunkel no es un caballero, nunca lo será."
10393,Simple,"Lebeuville es una población y comuna francesa, en la región de Lorena, departamento de Meurthe y Mosela, en el distrito de Nancy y cantón de Haroué."
10394,Compuesta,"El nacimiento del río se sitúa cerca de la Merindad de Sotoscueva, y desemboca en el río Nela, en la localidad de Bocos."
10395,Unimembre,"Precios ""demasiado"" economicos en comparacion con otras heladerias."
10396,Compleja,"Las principales ciudades ordenadas por población, provincia y región son:"
10397,Compleja,"Al tocar el cuerpo del Volvoice, comienza a grabar la voz humana."
10398,Compleja,Una versión pirateada fue publicada parcialmente en YouTube durante las sesiones de grabación de U2 en Èze.
10399,Compleja,"Las particularidades del mismo son que la reacción de incompatibilidad entre el polen y el pistilo está gobernada por el genotipo de la planta que da origen a los granos de polen (es decir, por el esporófito) y no por el genotipo de cada grano de polen individual."
10400,Compleja,En cuanto a cantidad... no pudimos acabar con lo que nos sacaron.
10401,Compleja,"Metate (del náhuatl métlatl o ""muela"", en español) es el nombre que recibe en Latinoamérica y, en especial, en México un mortero de piedra tallada de forma rectangular."
10402,Compuesta,"Galindo exigió un pago de 15 millones de pesetas (90.000 euros), además de no poder tocar la canción en directo, ni incluirla en futuras reediciones del disco."
10403,Compleja,"Este hombre, que no tiene antecedentes penales, compareció ayer como acusado en una vista oral en el Juzgado de lo Penal número 2 de Ibiza."
10404,Simple,Esto quebranto la carrera de García Salinas como gobernante.
10405,Compleja,"Pasamos como pudimos duchándonos con cazos de agua caliente y con mal humor nuestro fin de semana de ""vacaciones"", por lo menos nos afirmaron que nos devolverían dinero por los servicios no prestados."
10406,Compuesta-Compleja,"La facultad de Derecho está formada por distintas piezas que se despliegan ocupando los bordes de la parcela a modo de L, junto a dos vías de menor sección y buscan su propia relación con la alineación de la avenida Blasco Ibáñez, como ocurre en la mayoría de los edificios singulares recayentes a ésta."
10407,Compleja,"Nacido en Buenos Aires, dejó los estudios por una carrera deportiva que incluyó la hípica, natación y boxeo, ganando varios trofeos."
10408,Simple,La comida y el servicio aprueban.
10409,Compleja,"Dependiendo del tipo, marca y modelo de cámara, ésta dispondrá de más o menos controles para permitir al fotógrafo configurar la cámara a su gusto."
10410,Compleja,Los testículos están alojados fuera del abdomen porque requieren de una temperatura baja para lograr que los espermatozoides maduren adecuadamente.
10411,Compleja,Se encuentra también a Brujas una abadia dedicada a Trudo.
10412,Compleja,"El Defensor del Pueblo va a defender al pueblo, va a defender al Estado frente a las conspiraciones de algunos grupos que quieren dividir Bolivia."
10413,Compleja,"Giovanni Battista di Jacopo, llamado Rosso Fiorentino («Rojo Florentino») (Florencia, 8 de marzo de 1494 -- Fontainebleau, 14 de noviembre de 1540), fue un pintor italiano renacentista integrante de la Escuela de Fontainebleau."
10414,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Se cree que Buchnera fue una vez un organismo Gram - negativo de vida libre similar a los modernos Enterobacteriaceae tales como Escherichia coli.
10415,Compleja,"En consecuencia, los astilleros comenzaron a incluir pesadas baterías secundarias, de los mismos calibres que las baterías intermedias;"
10416,Compleja,"En la «profundización del entendimiento y expresión en la interpretación de la fisonomía de María», Steinman cree ver una prueba de la influencia de Savonarola sobre Botticelli."
10417,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Tradicionalmente la vida ha sido un concepto abstracto y, por tanto, difuso y de difícil definición."
10418,Compleja,"Un sitio genial para pasar una horas con los amigos, tranquilo pero con el ambiente adecuado."
10419,Compuesta,"La serie fue pensada originalmente para la Marvel inglesa, pero el cierre de esa rama editorial forzó su publicación americana;"
10420,Compleja,"El primero en ser establecido fue el Jardín Botánico de Pisa, fundado en 1544, en el transcurso de la historia ha cambiado poco el jardín, encontrándose en la localización que tenía en 1591."
10421,Compleja,"En 1895 delineó una conocida frontera biogeográfica a través de Indonesia, conocida ahora como línea de Lydekker, y que separa Wallacea, al oeste, de Australia - Nueva Guinea, al este."
10422,Compuesta,"Durante un viaje de caza en las proximidades de la capital de Tarnovo, Kaliman Asen asesinó a Miguel Asen I y usurpó el trono."
10423,Compuesta-Compleja,"Es en catalán y se emitirá en el 33 a partir del miércoles que viene, aunque ya podemos ver el primer episodio aquí."
10424,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Es un militar y político mexicano, miembro del Partido Revolucionario Institucional, fue Senador y Diputado Federal."
10425,Compleja,"Eran casi las once cuando me tocó iniciar mi diligencia, explica con resignación el aturdido vecino."
10426,Compuesta-Compleja,"Mientras que en otros países se seguía separando la profesión de uno y otro, ejemplo de Italia con el Ingegnere Civile - Edile (Ingeniero Civil o de la Construcción en otros países) y el Architetto, en España, la implantación del título de Aparejador supone que el Arquitecto pase a tener atribuciones en el proyecto arquitectónico, lo que se llama el proyecto básico propio de la profesión de Arquitecto, y además pase a tener las atribuciones en el proyecto de ejecución, asimilables a la profesión de Ingeniero de la Edificación o Maestro de Obras."
10427,Compuesta,"Realizan trabajos de alta calidad, muy buenos profesionales, conocen muy bien los medios y son muy creativos."
10428,Compuesta-Compleja,"Los volantes fueron emitidos a nombre de la Coalición Central Opositora, y hasta los niños lo han llevado a la Escuela pensando que se trataba de algo gubernamental."
10429,Compleja,"Esto es, una involución autonómica bajo la excusa de la crisis - que ni siquiera tiene en cuenta las especificidades históricas de la CAV, Navarra o Catalunya, territorios donde su resultado electoral fue más débil en comparación con la victoria generalizada en el Estado -, y una apuesta clara por las tesis del neoliberalismo conservador que está desmantelando el Estado del bienestar."
10430,Compleja,"Se halla a una distancia aproximada de entre 1,5 y 2,0 kiloparsecs del Sol según diversos científicos, lo cual junto con su posición en el cielo indica que pertenece posiblemente a la asociación estelar Sagittarius OB1, la misma a la que pertenece por ejemplo la Nebulosa de la Laguna, y su luminosidad de acuerdo con diversos estudios ha sido estimada entre 200.000 y 300.000 veces la del Sol, lo que la sitúa entre las estrellas más luminosas conocidas."
10431,Compuesta-Compleja,"A pesar de ser peces casi exclusivamente sacados de los diferentes afluentes del amazonas se adaptan muy bien a los ambientes cerrados del acuario y mostraran en todo su esplenor los colores azul metalico y rojo que los caracterizan, por el contrario si ello no sucede, entonces debera revisarse sus posibles carencias de carotenos y / o enfermedades que los puedan aquejar."
10432,Compleja,Los líquidos que muestran enlace de hidrógeno se llaman líquidos asociativos.
10433,Compleja,"Según los datos de Idescat, en 2008, 2 770 500 personas (49,30 %) tenían al catalán como lengua de identificación (por 3 410 300, 55,30 % que lo hacían con el castellano)."
10434,Simple,"Sobre un pequeño montículo adyacente al núcleo urbano, se agrupan varias decenas de bodegas tradicionales de sus habitantes."
10435,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Madrid, España, 11 de agosto de 2009), en rumano Valeriu Lazarov, fue un realizador, director y productor de televisión de origen rumano y nacionalizado español, afincado en España e Italia."
10436,Compleja,"Sin embargo, con el tiempo se decidión restringir cada simbolo a una pronunciación única."
10437,Compleja,"Aunque Hecatomno había pensado en una posible rebelión, siempre fue fiel al rey persa, por lo que no había razón para negarle a su hijo el derecho a sucederle."
10438,Simple,"Fue también asesor jurídico de la presidencia de la República, decano de la Facultad de Derecho de la Universidad Católica, profesor emérito de la misma y fiscal suplente de la Corte Suprema."
10439,Simple,"Sensorialmente posee fotoreceptores, quimioreceptores, y reoreceptores."
10440,Compleja,"El 16 de septiembre de 2004 anunciaron su separación, aunque la pareja no se divorció formalmente hasta el 8 de abril de 2005."
10441,Simple,Clinton se encuentra ubicada en las coordenadas.
10442,Compleja,"Kolker, al igual que compañeros actores como Richard Bennett y Robert Warwick, tenía una sólida carrera teatral antes de dedicarse al cine mudo."
10443,Compleja,Las instrucciones estipulaban que el logro de «ninguno de esos objetivos debía depender uno del otro».
10444,Compleja,"Al desaparecer dicha compañía, en el año 1798, Java y el resto de sus posesiones pasaron automáticamente a manos del gobierno holandés."
10445,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Fue cedido al ASVEL Lyon - Villeurbanne, de la liga francesa."
10446,Simple,Un ejemplo de fuerte confrontación se tuvo entre Atogamtoma (señor de Tijarafe) con Tanausú (señor de Aceró) o Mayantigo (Aridane).
10447,Compuesta-Compleja,"Al concluir el breve recital, Chávez se apresuró a subir al escenario y abrazó calurosamente a Dudamel y a algunos de los chicos."
10448,Compleja,"Fue recluida en una celda repleta de compañeros del movimiento, entre los que se encontraba Basilio Rodríguez."
